GRADUATEYEAR,STUDENTID,AlgorithmDesignandAnalysis,ArtificialIntelligence,CalculusforScience,CommunicativeEnglishForAcademicAnalysisInComputerTechnology,CommunicativeEnglishForResearchPresentationInComputerTechnology,CommunicativeEnglishForSpecificPurposesInComputerTechnology,ComputerArchitecture,ComputerNetworkAndDataCommunication,DataMiningTechniques,DataScience,DataStructure,DatabaseSystems,DevelopmentalEnglish,DigitalImageProcessing,DigitalMarketing,DiscreteMathematicsForComputerScience,EnergyAndTechnologyAroundUs,EnglishCriticalReadingForEffectiveCommunication,EnglishWritingForEffectiveCommunication,FundamentalEnglish,FundamentalLawsForQualityOfLife,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,InternetProgramming,IntroductionToComputerInformationScience,IntroductionToRobotics,LanguageSocietyAndCulture,LifePrivacy,LifeSkills,LifeAndHealth,LinearAlgebraAndApplications,ManAndEnvironment,MathematicsForScience,MobileApplicationDevelopment,MultimediaApplicationDevelopment,MultimediaAnd WebTechnology,MusicStudiesInThaiCulture,ObjectOrientedProgramming,OperatingSystems,PhilosophyOfScience,PoliticsEconomyandSociety,ProgrammingLanguages,Seminar ,SensingAndActuationForInternetOfThings,SoftwareEngineering,SpecialTopicsInComputerScience,StatisticalAnalysis,SystemAnalysisAndDesign,ThaiLanguageSkills,GPAgraduate
2563,100249382,D+,C,D+,D+,C+,D+,C,D,C,,D+,D+,C,,,D,,C,D+,C,,D+,B+,C,C+,,,B,,,C,,D+,C,B+,,,C,C,,,,B+,,C,,D,C+,C,2.07
2563,100249400,B,A,C+,B,A,B,A,C,C+,A,B,A,B,A,,A,,B+,C+,B+,,A,A,B,B+,B+,B,,A,,A,,B,A,A,,,A,B+,,,,A,A,A,,C,A,C+,3.39
2563,100249405,C+,C+,B,B+,A,B+,C,C,B,B,D+,B,B,B,,C+,,B,B,B,,C+,B+,C+,C,A,C,,A,,B+,,C,C,B+,,,C+,C+,,A,,A,B+,B,,D,D+,C,2.63
2563,100249406,C,B+,F,B,B,C,C+,D+,C,,C+,B,C+,B+,,C+,,C,C,C,,B+,B+,C+,C+,B,,,A,,C+,,D,B,,,C+,A,B+,,,,A,B+,B,,D,C,C+,2.58
2563,100249415,C,D+,F,D+,C+,D,C,D+,B,,D+,D,C,,,D,,F,D+,F,,B+,C,C,C,C+,C+,,,,C,,D+,C+,B,,,C,C,,,,C+,B,C+,,D+,B,F,2.1
2563,100249416,C,B,F,C+,B,D+,B,C,C+,,C,B,C,,,C+,A,C,C,C,,B+,A,B,C+,B,,,,,B+,,D+,C+,A,,B+,A,C+,,,,A,B,C+,,D,C+,C+,2.68
2564,100249419,D+,D+,F,C+,B+,C+,C,D+,C+,,D,C,C,,,D,A,C,C,C,,C+,B+,B,C,C+,,,,,B,,D,,C+,,B,C,C,,,,C+,B+,C,,D,C,C,2.16
2563,100249428,C,C,F,D+,B+,C+,C+,C,B,C,D+,B,C+,,,C,,C+,C+,C+,A,C,A,D+,B,B+,B,,,,C+,,D,,B,,,C+,C,,,,B+,C,C+,,F,C+,C+,2.4
2563,100249434,C,B,F,C,C+,B+,C+,C,C+,,C,D,B+,,,D+,A,C+,B,C+,,B,B+,C,B,C+,,,,,D+,,D,D+,A,,C+,B,C,,,,B,C,B,,F,B,C,2.39
2564,100249457,C,D,D+,D+,D,D+,D+,D,C,D,D,D,C,C,,D,,C,C,C,,C,A,C,C,D,C+,,B+,,C,B,D+,,,,,D,C+,,,,B,C+,C+,,F,C+,C,2.03
2563,100249461,C,B+,D+,B,B,B,C+,C,C+,B+,C,A,C,A,,B,,C,C,C,A,A,A,C,C,A,C+,,,,C,A,D+,B,B,,,B+,C,,,,A,C+,B,,D,C+,C,2.65
2563,100249463,B,C+,D+,B,B+,B,C,C,C+,C+,D+,D,B,B+,,C+,,D+,B,D+,,A,A,C,C,B,B,,A,,C+,,D+,,B+,,,C+,C,,B+,,A,B+,B,,F,C+,C+,2.59
2563,100249498,C,C+,D,B,B,C+,C,D+,B,B,D,D+,C,B,,D,A,D+,C,D+,,C,B+,B,C,C+,,,A,,D+,,D+,,,,,C,C,,C+,,B+,C+,C+,,D,C,C,2.17
2563,100249499,C+,D+,C,C+,B+,B,C+,D+,C,D+,D,C,C+,,,C,,B,B,B,,C+,A,C+,C,C+,,,A,,C+,,C,,,,B+,C+,C,,B+,,B,C+,B,,D+,C,B,2.45
2563,100249506,C+,C+,F,C,C,C,C,D+,C,,C,A,C,,,C,A,C,C,C,,B,A,D+,B,B,,,A,,C+,,F,D+,A,,C+,B,C,,,,A,C+,C+,,D+,C,C,2.46
2563,100249518,C,D+,D+,C+,C,C,C+,D,C+,C,C,D,C+,C,,C,B+,D+,C,D+,,A,B+,D+,C+,B+,,,,,B,,D+,D+,B,,B+,B+,C+,,,,A,C,C+,,D,C,C+,2.31
2564,100249527,C+,C+,D+,C+,C,D+,D+,D+,C+,C,D,B,C,,,C+,A,C,C,C,,B,A,B,C,,,,A,,C,,D,,,,B,B,B,,C+,,B,,C+,,F,D+,C+,2.27
2564,100260652,C+,C+,D+,C,C+,C+,C+,C,C,C,D+,C+,C,,,C,,C,B+,C,,B,A,C,C,,,,,,C+,,C+,,,C,A,B,D+,,A,,A,,C,,D+,C,C+,2.55
2564,100260653,B+,D,C+,B,B+,C,C+,D+,C+,,D+,C+,C+,C,,C,,C+,B+,C+,,A,B+,C+,C+,,,C+,,,C+,A,C,,,B+,B,A,C,,C+,,C+,C+,C+,,C,C,C+,2.49
2564,100260658,C+,C,D+,C+,C+,C,C,D+,C+,C+,D,B,C,B+,,D+,,C,B+,C,,C+,A,A,C+,,,,,,C,,C,,,C+,A,C,C+,,B,,A,,B,,D+,C+,B,2.54
2564,100260661,B,D+,C,B+,C+,C,C+,C+,C+,,C+,B,C,B,,D+,,C,B+,C,,C,B+,A,C+,,,,A,,C+,,D,C+,,B,C+,B,C+,,B,,B,C+,C+,,D+,C+,C,2.42
2564,100260662,C+,C+,C,C,C+,C,B,C,C+,,C+,C+,C,B+,,B,,C,B,C,,A,A,A,B,,,,,,B,,A,B,,A,B,B+,C,,B,,B+,C+,C+,,A,C+,B,2.92
2564,100260667,A,B+,D+,A,A,A,A,A,C+,,B,A,A,A,,C+,,A,A,A,,A,A,A,B,,,,A,,A,,C,A,,A,A,A,A,,A,,A,A,B+,,B,C+,C,3.4
2564,100260678,C+,C+,D,C+,B,C,C,D,C+,,C,B,C,C+,,C,,C,B,C,,C,A,A,C+,,,,A,,C+,,D+,,,C,B+,C,C,,B+,,B,B,B,,D+,B+,C+,2.46
2564,100260684,D+,D+,C+,A,B+,B+,C,D,C,,D+,B,C+,C,,D,,B,B,B,C+,C,A,C+,C+,,,,,,D+,,D,,,B,B,D+,C,,,,A,C,C,C+,D,C,C,2.15
2564,100260689,C,D+,D,C+,D+,C+,C,D,C,,C+,D+,C+,,,D,,C,C,C,C,A,A,B,B+,,,,,,C+,,C,,,C+,C+,B+,C,,C+,,A,B,C,,D,D+,C,2.1
2564,100260700,C+,D+,C+,A,A,A,C+,C,C,,C+,B,B,C,,D+,,B,A,B,,A,A,C+,C+,,,,,,B,,C,,,A,B+,A,C+,,A,,B,,C,,D,C,B,2.7
2564,100260701,C,D+,C+,C,B,B,C,C,C+,,D+,C+,C+,,,C,,C+,B+,C+,,B,B+,C+,B,,,A,,,C+,,D+,D+,,B,A,C+,C,,,,B+,,C,,D+,C+,C+,2.52
2564,100260717,C,C,D,C+,C+,C,C+,D+,,,D,C+,C,,,D,,C,C+,C,,D+,B+,B,C,,,,,,C,,D,D+,,C,C+,C+,C,,B,,A,B,C,,F,C,C,2.18
2564,100260731,C+,C,C+,B+,B,B,C+,D,C,,C+,B,B+,,,D,,B,B+,B,,A,B+,D+,B,B,,B+,,,C+,,B,B+,,A,B,A,C,,,,B,,C,,D+,D+,C,2.65
2564,100260747,B,C,D+,B+,B+,C+,B,C,C+,C+,C,B,B,,,C,,B,A,B,,B+,A,C,B,,,,A,,B,,C,,,B,A,B+,C,,,,A,,C,,C,C+,C+,2.71
2564,100260763,B,D+,C,A,B,A,C+,C,C,,D+,C+,C,C+,,D+,,B+,B+,B+,,A,A,C,B,,,,,,C+,A,D+,,,C,B,C,C,,,,B+,B+,C+,,D+,C,C,2.43
2564,100260771,C,C,C+,B+,B+,B+,C+,D+,C,,D+,B,C,A,,D+,,C+,A,C+,,A,A,C,C+,,,C+,,,C+,,D,A,,B+,B+,A,C+,,,,A,B,B,,D,C,C+,2.61
2564,100260773,D+,D+,D+,D+,C+,C,C+,F,C,C,D+,C+,C,,,D+,,C+,A,C+,,B+,A,C,C+,,,,A,,C,,D+,,,C,A,C,C,,,,B+,,C,,D,C,C+,2.3
2564,100260774,A,C+,C+,B+,B+,B+,A,C+,C+,,A,B+,B,A,,C+,,B,A,B,,A,A,A,B,,,,A,,B+,,D+,A,,A,A,A,C+,,C+,,B,B+,A,,B+,C+,C+,3.13
2564,100260780,C+,D+,D+,B,B+,B+,C+,C,C,,D+,B,C+,C,,D+,,B,B+,B,,C+,A,C+,C+,,,,,,B,,C,,,C+,B,B,C,,C+,,B,C,B,,C,C,C,2.42
2564,100260798,D+,D,B,C+,C+,B,D+,F,,D+,D,C+,C,D,,D,,C,B+,C,,B,A,C,C,,,,,,D+,,C+,D,,C,C,C,C,,C,,B+,B,C,,D,D+,C,2.11
2564,100260799,C,D,C+,C,B+,B,C,D+,C,,D,C+,C+,,,C,,C,A,C,,C,A,B,C+,,,A,,,C,,F,C,,C+,B,B,C+,,,,A,,B,,D+,C+,C,2.38
2564,100260827,B+,C,C+,A,B+,A,B+,C,,,C,B+,B,,,C+,,B+,A,B+,B+,A,A,C+,B+,,,A,,,C+,,B,,,B+,A,A,C,,,,A,B,B,,C,B+,C+,3.03
2564,100260842,D,B,C,B,B+,B+,D+,D,C+,D,D+,C+,B,,,C,,C+,A,C+,,B+,A,B,B,,,,,,C+,,B+,,,D+,B+,A,C,,D+,,A,,C,,D+,C,C,2.33
2564,100260844,B,D+,D,D+,B,C+,C,F,C+,,D,B,C,C+,,D+,,C,B,C,,C+,A,C+,C,,,,,,C,,C,C,,B,B+,C,D+,,B+,,C+,,B,,D+,A,C,2.42
2564,100260850,C,C,C+,B+,B,B,C,D+,C,,D,C,C+,C,,C,,C,C+,C,,C,B,C,C,,,C+,,,D+,A,D,,,C,B,D+,C,,,,B,C+,C,,C,C,D+,2.14
2564,100260860,B,B,C+,B+,B+,B,B,C,C+,,C,C+,C+,B+,,C,,C+,A,C+,,B,B+,C+,C+,,,,,,C,,D+,C+,,C,B,C,C+,,,,B+,B,B+,,D+,C+,D,2.55
2564,100260864,B+,C+,B,C+,D+,B+,A,C+,B+,B,A,B+,C,,,C+,B+,C,C+,C,,A,A,C,B+,,,A,,,A,,B,C+,,A,B+,A,C,,,,A,B+,C+,,C+,C+,C+,3.1
2564,100260885,D,D+,C+,A,C+,A,B,C,,,B+,C,A,,,C,,B+,A,B+,,A,B+,B,B+,B,,B+,,,C+,A,C,B+,,A,B+,A,C+,,C+,,B+,C+,B+,,D+,B+,B,2.79
2564,100260890,B+,C,C,B,C+,B,C+,C,B,,D+,B,C,B,,C+,,C,B,C,,D+,B+,A,C,,,A,A,,B,,C,,,C,B+,C,C+,,,,B+,B,C+,,C,B+,C,2.62
2564,100260892,C+,C,D+,B+,B+,B,D+,F,C,,D+,B,B,C,,D+,,C+,B,C+,,B+,A,C+,C+,,,,,,C+,,C,,,C+,B+,A,C+,,C+,,C,C,C,,D,C,C,2.37
2564,100260909,D+,C+,D+,B,B+,D+,C+,D,B,,C,D+,C,B,,D,,C+,B+,C+,,A,B+,C,B+,,,,A,,C,,B+,A,,B+,A,A,C,,,,A,C,B,,C,C,C,2.58
2565,100260912,B+,A,C+,A,B+,A,C+,F,B+,C+,C+,C+,B+,,,C+,,C,A,C,B+,A,A,B,C+,,,,,,A,A,C+,A,,B+,D+,A,B,,,,A,B+,C+,,C,B+,C+,3.01
2565,100260920,C,C,C+,A,D,A,C+,D+,C+,,D,C+,A,,,D+,,A,B+,A,B+,B+,A,C+,B,,,,,,A,,C+,D+,,C,B+,A,C,,B+,,B,D+,C+,C+,D+,D+,C+,2.6
2564,100260921,C+,C+,D+,B,B,C+,B+,D,B,,C+,B,C,A,,C,,C,B+,C,,A,A,A,C+,,,,,,C,,D,C+,,B+,C,A,C,,C,,A,,C,,D+,C+,C,2.54
2564,100260935,B+,C,C,B,C,C+,C+,D+,C,,D+,C+,C,,,D+,,C,B+,C,,B+,B,C+,C+,,C,,,,D+,,D+,D+,,B,B,C,C,,B,,C+,,C+,C+,D,C,C+,2.22
2564,100260960,B+,C,D,A,C+,B+,C,D+,C+,,C+,C+,C+,C+,,C,,C+,A,C+,,A,A,C+,C+,,,,,,C,,C,C+,,B,B+,A,C,,C+,,B+,C+,B,,D+,C+,B,2.65
2564,100260971,C,C+,D,D+,C,C,D,F,C,,D,C+,C,C,,D,,D,B+,D,,D+,B,C+,C,,,,,,C,,F,,,C,C,C,C,,B+,,B,,C,B,D+,A,C,2.16
2564,100260972,C+,C+,C,C+,C,C,D+,C+,C,,F,C+,C,B,,C,,C,B,C,,C,A,A,C+,,,A,A,,C,,D+,,,B,A,C,D+,,,,A,B,C+,,D+,B+,C+,2.47
2564,100260987,B,D+,C+,B,B+,C+,D,F,B,C,D,B+,C,C+,,D+,,C,B,C,,D+,B+,A,C,,,,A,,D,,D+,,,C+,B,D,C+,,,,B,B,C+,,F,B+,C,2.38
2564,100260991,A,B,C,B,B+,A,B+,A,C+,,A,C+,B,A,,C+,,B+,A,B+,,B+,A,A,B+,,,,A,,B,,D+,B,,B+,B+,A,B,,C+,,B+,B+,B+,,C+,B,C,3.16
2564,100261022,A,B+,B,A,C+,A,B,D+,C+,B,D+,B,B,,,B,,B+,A,B+,B+,A,A,B+,B+,,,,,,A,A,B+,A,,B+,C,A,B+,,,,A,B,C+,,B,A,B,3.14
2564,100261023,B,C,C+,A,A,B+,B,C,C,,C+,C,C+,,,B,,C,A,C,,B,B,B,C+,,,B,,,D+,,B+,B,,C+,B,A,C,,,,B+,,C+,,C,C,C+,2.71
2564,100261031,B+,C+,C,B,C+,B,B,D,B+,B+,C+,C+,C,,,C,,D+,C+,D+,,A,A,B+,C+,,,B+,,,C+,A,D+,B,,B,C,A,B,,B,,A,B,B+,,D+,B+,C,2.72
2564,100261038,B,D+,D+,B+,B,B+,C,C,C+,,D+,C+,B,,,D+,,C,A,C,,C,B,C,B,,,A,,,C+,,D+,D+,,B+,C+,C+,C,,,,B,,C,,D+,C+,C+,2.47
2564,100261047,A,B+,B,B+,B+,A,B+,A,C+,,B,A,B,A,,C+,,B,A,B,,A,A,A,B+,,,,A,,A,,B+,A,,A,A,A,B,,B,,A,A,B+,,B+,B+,C+,3.44
2564,100261054,C,C+,C+,B+,A,A,C+,C,C,,C,B,B,,,D+,,C,B+,C,,C,B+,B,C+,,,,,,C+,,D+,,,B+,C+,C,D+,,B,,A,B,B,,D,C,C+,2.59
2564,100261059,C+,B,D+,B,B+,C+,C+,D,C+,,D+,B+,C,B,,D,,C,B+,C,,D+,B+,A,C+,,,,A,,C,,D,,,C+,B+,C,C,,,,C+,B,C+,C+,D+,B+,C+,2.52
2564,100261060,B,D+,D,B,C+,C+,C,D+,B,D,F,C,C+,,,D,,C,A,C,,C+,A,C,C+,,,,,,C,,D+,C,,C,C+,C+,C,,B+,,A,C,C+,,F,D+,C,2.31
2564,100261080,B,C,D+,B+,B+,B,B,D,C+,,D+,C+,B,,,C,,C,A,C,,C+,B+,C,C+,,,,A,,B,,C+,,,B+,A,B+,C,,,,A,C,C,,D+,C,C+,2.6
2564,100261093,C+,D+,D,B,A,B+,C+,C,C,C+,D,C+,B,,,D+,,C,A,C,,C,A,C,C+,,,,A,,C+,,D+,,,B,A,C,C,,,,A,,C+,,D,C+,C+,2.57
2565,100261094,B,C,C,D+,C,D+,D+,D,C,,D,C+,C,,,D+,,D,B,D,,D+,B,B,C,,,,,,C,,C,D+,,C+,B+,C,C,,,,A,,C,,D+,C,C+,2.07
2564,100261096,A,B,C,B+,B,B+,A,C,A,A,B,C+,B,A,,C+,,B,A,B,,A,B+,A,C,,,,A,,B,,C,,,A,B,A,C,,,,A,,B+,,B,B,B,3.17
2565,100261098,C,C+,C,D+,D,C,D+,D+,C,,F,C+,C,,,D,,D+,B+,D+,,C,A,C,C,,,C+,,,D+,,D,,,C+,B,C,D+,,A,,B+,C,C,,D,D+,D+,2.06
2565,100261105,F,C,C,C,C,C,D,F,C,,D,C,C+,,,D,B,C,B,C,,A,A,B,C+,B+,,,B,,C,,D+,C,,C,B,C,C,,,,B,B+,C+,,D,D+,B,2.21
2564,100261108,B,C+,C+,B+,C+,B,C,C,C+,,D,C,B+,,,D+,,C,A,C,,C,B+,B,C+,,,,,,C+,,D+,C+,,C+,B,C,C,,,,B,,C,,D,C,C,2.39
2564,100261112,B,C,C,B,C+,C,D+,C,C+,,D+,C+,C,C+,,D,,C,C+,C,,D+,A,A,C+,,,,A,,D+,,F,D+,,B+,B+,C,C,,B,,A,C+,C,,D+,B,C+,2.24
2564,100261121,B,B+,D+,B+,C+,B,D+,D,C+,,D+,B,C,B,,D+,,C,B,C,,C,B+,C,C+,,,,,,D+,A,C,D+,,B,B+,C,C+,,A,,C+,,C+,,D,A,B+,2.54
2564,100261126,C+,B,C,B,B,B,B,D,C+,,D,B+,C+,,,D,,C,A,C,,C,A,C,C+,,,,A,,C+,,D+,,,C,A,C,C,,,,A,C,C+,,D+,C,B,2.53
2564,100261135,C,D,C,D+,C+,C,D+,D,C+,,D,C+,C,,,D,,C,B+,C,,D+,B+,C,C,,,,A,,C,,D,,,D+,B,C,D+,,,,A,C,C,,F,C,C+,2.05
2564,100261149,B,C,D,B+,A,A,C+,D+,B,B,D+,C+,B,B+,,C,,B,A,B,,B,B+,A,C+,,,,A,,B,,C+,,,A,C+,A,C,,,,A,,C+,,C+,C+,B,2.84
2564,100261151,B+,C,D,C+,B,B,C,D+,B,B,C,C+,C,,,C,,C,C+,C,,B+,B+,A,C+,,,,A,,D+,,D,C+,,B+,B,A,C,,,,A,,C+,,D+,C+,B,2.47
2564,100261153,B,B+,C+,B,A,A,C+,C,A,A,C,A,C+,A,,C,,C+,A,C+,,B+,B+,A,C+,,,,A,,A,,B+,,,A,A,A,C+,,,,C+,,B,,A,B,B,3.28
2564,100261194,B,C+,D+,C,C+,C,C,F,C,,D+,C+,C,,,D+,,D,B,D,,B+,B,B,C,,,,A,,C+,,C+,D+,,B+,B,A,C,,,,A,,C+,,C,C,C+,2.39
2565,100261230,C,C+,C,B,F,C+,C,D+,C+,,C+,D+,C,C,,D,,F,B,F,,C+,A,C,B+,,,,,,C,,D,C+,,C,C+,C+,C,,B+,,B+,,C,,D,C,D+,2.28
2564,100261235,A,B+,B+,A,A,A,A,A,C+,,A,B,B+,A,,B+,,A,A,A,,A,A,A,C+,,,,A,,A,,A,A,,B+,A,A,B+,,A,,A,A,A,,A,C+,B,3.59
2564,100261237,A,C+,C,B,D+,C,B,C,B,,C+,B,C+,B+,,C,,C,B,C,,A,B+,B,C+,,,,,,B,A,B,C+,,B+,C+,B+,C+,,B,,A,,B,,D+,A,D+,2.77
2564,100261275,A,C,C,B+,B,B,C+,C,C+,,C,C,B,A,,D+,A,B,A,B,A,A,B+,C,A,,,B+,,,B,,C+,B,,B+,B+,A,C+,,,,A,,A,,D+,A,B,2.9
2565,100263612,C,C,C,D,,C,D,C,D+,,D,C+,C,,,C,C+,D,B,D,C,B,B,D+,,,C,,,,D+,B,D,C,,B,A,C,C+,,B+,C+,C+,,C+,C,F,,C,2
2566,100269146,D,D,C,B+,C,C+,C+,F,,,D,C,B,,C+,D+,,C,D,C,,C,A,C+,B+,,C+,,,,C+,,C+,,D,C,,C,C+,,,,C+,,C+,C,D,D,C+,2.14
2565,100269314,D,D+,C,A,B,C+,B,D,,,D,C+,B+,,,C,,C+,D,C+,,C,A,C+,B,,C+,,,,B,,D,,A,B+,,C,D,,,,C+,,C+,C,D,C,B,2.35
2565,100270640,B+,B+,B,A,A,A,A,B,C+,B+,B,B,A,,,B,,A,A,A,,B+,A,C+,A,,C+,A,,,B,B,B,A,,A,,A,C+,,,,A,A,A,,B,B+,B,3.36
2565,100270662,D+,D,C,B,D,C+,C+,C,,D,D+,C+,B,C,B,C,,C,C+,C,,C,B+,C+,,,D+,,A,,D+,B,D+,A,C+,,,C+,B,,,,C+,,C+,,C,C,C,2.31
2565,100270678,C+,D+,C+,A,A,B,B+,C+,C+,B+,C+,C+,B+,B,,C,,C+,B,C+,,C+,A,D+,B+,,C+,,A,,A,A,B,,B+,,,C+,C,,,,B+,B+,B+,,C+,B+,B+,3
2565,100270688,B,C+,B,A,B,B+,B+,C,,,C+,B,A,B,C+,C,,B+,B+,B+,,B,A,C,B+,,D+,,,,C+,A,B,C,,A,A,A,C+,,B+,,A,,C+,A,C+,B+,C+,3.05
2565,100270697,A,D+,C+,A,A,B+,A,B+,,B+,D+,B,C+,B+,B+,C,,C+,B,C+,,A,A,B+,B,,C+,,,,C,A,F,A,,B+,A,A,B,,,,A,B+,B+,B+,C,B,C+,3.08
2565,100270705,C,D+,C,B+,D+,D,C,D+,C+,C+,D+,C+,C,D+,B+,D+,,C,C,C,,C+,A,D+,C,,D+,,A,,B,B+,C,,B,,,C,C,,,,B+,,C,,D+,C+,C+,2.21
2565,100270712,D+,D+,A,B+,D+,B,C,D+,,,B,B,B,D+,B+,C,B+,C,B,C,,C,B+,D,,,C,,A,,C,B,B,B,,B+,,B,C+,,,,C+,D+,C+,,C,D+,C,2.48
2565,100270720,B,B+,C+,A,B,C+,C,C+,C+,C+,C+,C+,B,,,C,,C,B+,C,,C+,A,C,,,C,,A,,C,B+,C,C,B+,B,A,C,B,,,,A,B+,C+,B,C,B,C+,2.7
2566,100270750,C,D,C+,A,C+,C+,C,C,C,,D+,C,B,,C+,D,,C,C+,C,,C+,A,B+,,,D+,,A,,D+,A,F,C,B,B+,,B,C+,,,,A,C+,C+,,F,D+,C,2.16
2566,100270751,A,D+,C+,A,B+,B,C,B+,,D,D+,B,B,C,C+,C,,C,B,C,,C+,A,C+,B+,,C,,A,,B,A,C,,B+,C+,A,B,C+,,B+,,A,,C+,B+,B+,B+,C+,2.78
2565,100270770,A,D+,C+,A,B,B+,C+,B,C+,,B,C+,A,C,A,C,,B,B+,B,,C+,A,C+,,,C,,,,C,B,C,C,,B,A,B,B,,,,A,,C+,,D+,C+,C+,2.73
2565,100270772,B,C+,B,A,C+,B+,B,C+,C+,,C,B,A,,,C,,C+,B,C+,,C,A,D+,A,,C,,A,,D+,B,F,B+,B+,A,,C+,C,,,,B+,,B,C,D+,C+,B,2.71
2566,100270775,D+,D+,C,B,D,D,D+,D,C+,,D+,C,B,D+,,D+,B+,C,B+,C,,C,A,D,,,D+,,A,,D+,B,D+,D+,,D+,B,C,C,,,,B,,B,,D,D+,C,2.07
2565,100270785,A,B+,A,A,A,A,A,B,B,,B+,B,A,,,B,,A,A,A,,A,B+,B+,A,,C,A,,,A,B+,A,A,B,,,A,B,,A,,A,A,B+,A,A,A,C+,3.63
2565,100270787,B+,C+,B,A,B+,B,C+,C+,B,B,B,B,C+,,,C,,C,B,C,D+,C+,B+,C+,B,,B,A,,,C+,B,C+,A,,C+,,B,B,,,,A,A,B+,,C+,B,C,2.76
2565,100270803,B,C,C,A,B+,C+,C,C,C+,,C,B,B+,,B+,C,,C+,C+,C+,,C,A,C,A,,C+,,,,D+,B+,D+,A,,B+,,C,C+,,,,A,B,B+,,D,C+,C+,2.47
2565,100270815,C+,D+,C,A,C+,B,A,C,,,A,C,A,B,B,C+,,B,B,B,,A,A,C+,A,,B,,,,C+,B,D+,B+,,A,,A,C+,,,,B+,B+,A,,C,C+,B,2.78
2565,100270818,C+,C+,C+,A,B+,B,B+,B,B+,B+,A,C+,B,,,C+,,C,C+,C,C+,C,A,C+,B,,C+,B,,,C+,B,D+,A,,B,,C,C+,,,,A,A,B+,,C,C+,C+,2.72
2565,100270829,A,C,B,A,A,A,A,B,B+,A,B,B,A,,,C+,,A,A,A,,B,A,D+,A,,B,,,,B,B,B,B,A,A,,B,C+,,,,A,,B+,,B,B,C+,3.14
2565,100270830,C+,C,B,B+,C,C,A,C,,,C+,B,B+,C,B,C,A,C,B,C,,C,A,D,,,C+,,A,,C+,B,B,B+,B,,,B+,C+,,,,A,,C+,,C+,C+,C+,2.7
2565,100270831,D+,D+,B+,B+,C,C,C,D+,,,C,B,C+,C,B+,C,A,C+,B,C+,,B+,B+,D,,,B,,A,,B+,B,,B,,B,,C,C+,,,,C+,D+,C+,,C+,D+,B,2.54
2565,100270833,B,C+,C+,A,B+,B,C,C+,B,B,C+,B,C+,,,D+,,C,C+,C,,D+,B+,C,,,C+,,A,,C,B,D+,C+,B+,B,A,C,C+,,,,A,C+,C+,B,D+,C+,C+,2.58
2565,100270836,C,B,B,B+,D,D,C+,D,C,,C+,B,C+,,C+,D,,D+,C,D+,C+,B+,A,D,C,,C+,,B+,,C+,B,C+,A,,B+,,A,C,,,,B,D+,C+,,C,D+,B,2.33
2565,100270839,A,C,C+,A,A,B+,B+,A,,A,C+,C+,A,B,B+,C,,C+,A,C+,,C+,A,B+,B+,,B,,A,,B,B,C,,A,A,A,A,B,,B+,,A,,A,A,C,B+,C+,3.22
2565,100270848,A,C+,B,A,A,A,A,B+,,B+,B+,A,A,A,A,B,,B+,A,B+,,B,A,A,A,,A,,A,,A,A,C+,,A,A,A,A,B,,A,,A,,B+,A,C+,A,B,3.6
2565,100270877,A,D+,C+,A,A,A,A,C+,A,A,B+,C+,A,,,C+,,C+,A,C+,,B+,B+,D+,B+,,B+,,,,C+,B,B,A,A,A,,B,C+,,,,A,,B,,C+,B,B,3.08
2565,100270887,C+,C+,C+,B+,B+,B,C,B,B,B,D+,C,B+,,,C,,C,C,C,,C+,A,B,C+,,C+,B,,,D+,B,D+,B,,B,,D+,C+,,,,A,A,B+,,C+,C+,C,2.52
2565,100270888,C,D+,C+,C+,C,C,C,C,C,,C,C,C,,,C,,C,C,C,,C+,B+,D+,B+,,B,,A,,D+,B,D+,B+,B+,B,,C,C+,,,,B+,,C,C,D,B,C,2.34
2565,100270897,C+,C,C,C+,C,B,C,D+,C,,C,C+,B,,,D,,C,C+,C,,C+,A,D,B,,B+,,,,D,B,D,C,B,B,B,C+,C+,,,,B+,,B,,D,D+,C,2.23
2566,100270900,A,F,D+,A,B+,B,C+,B+,C+,C+,C,C,C+,C,,D+,,C,C+,C,,C+,A,D+,A,,B,,A,,D+,B,D+,C,,B,,D,B,,,,C+,C,B,,D,C+,C+,2.34
