GRADUATEYEAR,STUDENTID,AlgorithmDesignandAnalysis,ArtificialIntelligence,CalculusforScience,CommunicativeEnglishForAcademicAnalysisInComputerTechnology,CommunicativeEnglishForResearchPresentationInComputerTechnology,CommunicativeEnglishForSpecificPurposesInComputerTechnology,ComputerArchitecture,ComputerNetworkAndDataCommunication,DataMiningTechniques,DataScience,DataStructure,DatabaseSystems,DevelopmentalEnglish,DigitalImageProcessing,DigitalMarketing,DiscreteMathematicsForComputerScience,EnergyAndTechnologyAroundUs,EnglishCriticalReadingForEffectiveCommunication,EnglishWritingForEffectiveCommunication,FundamentalEnglish,FundamentalLawsForQualityOfLife,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,InternetProgramming,IntroductionToComputerInformationScience,IntroductionToRobotics,LanguageSocietyAndCulture,LifePrivacy,LifeSkills,LifeAndHealth,LinearAlgebraAndApplications,ManAndEnvironment,MathematicsForScience,MobileApplicationDevelopment,MultimediaApplicationDevelopment,MultimediaAnd WebTechnology,MusicStudiesInThaiCulture,ObjectOrientedProgramming,OperatingSystems,PhilosophyOfScience,PoliticsEconomyandSociety,ProgrammingLanguages,Seminar ,SensingAndActuationForInternetOfThings,SoftwareEngineering,SpecialTopicsInComputerScience,StatisticalAnalysis,SystemAnalysisAndDesign,ThaiLanguageSkills,GPAgraduate
2566,100270908,C,D+,B,A,B,C,C,C+,,,D,C+,B,,C+,D,,C,C,C,,D,A,D+,,,B,,,,D+,B,F,B+,B+,B,,D+,C,,,,A,,C,C,F,C,B,2.28
2565,100270912,A,D+,C+,A,B,C+,B+,C+,,B,D+,B,C,C,B,C,,C,B,C,,C,A,A,,,C+,,,,D+,C+,F,B,,A,,B+,C+,,,,A,B+,B+,B,D+,C+,C+,2.63
2565,100270939,A,B,B+,A,A,B,B,B+,,,B,B,B+,A,A,C+,,C,B,C,,D+,A,A,A,,B+,,,,B,B,C+,B+,,A,A,C+,C+,,B+,,A,,A,B+,C+,B,B,3.27
2565,100270954,C+,D+,C,A,B,A,B+,C+,,,C,B,A,C+,B,C,,B,B,B,,B,A,B+,,,C+,,,,B+,B+,C,A,,A,,B+,B,,C,,A,A,B+,,C,B,B,2.94
2565,100270965,B+,C+,C+,A,A,B,B,B,,,C+,C+,A,C+,B+,C,,B+,B+,B+,,C,B+,A,A,,B+,,A,,C,B,D+,B,,B+,A,C+,B,,B+,,A,,A,B+,C,B,B+,3.07
2565,100270967,A,D+,B+,A,A,A,D+,A,B,B+,D,C,A,,B+,D+,,A,A,A,,C+,A,A,C+,,B,,A,,C+,B+,C,A,,B+,,A,B,,,,A,,A,A,F,B,B+,3.11
2566,100270970,C,D,D,A,C,C,C,F,C,C,D,C,C,,,D+,,D+,C+,D+,,D,B+,C,,,B,,B+,,D+,A,F,C+,B+,D+,A,D+,C+,,,,B+,B,C+,B+,D,D+,B,2.19
2565,100270973,C+,C+,C,B,B+,C+,C+,C+,C+,C+,C+,C,B,,,C,,C,B,C,,C,A,C+,B,,B,B+,,,D+,B+,D+,B+,,C+,,D+,C+,,,,A,A,A,,C,B+,C+,2.57
2565,100270976,A,B,B,A,A,B,A,B+,B,A,B+,B+,A,A,,B,,A,A,A,,C+,A,A,,,B+,,A,A,A,B+,B+,,B+,,,B+,C+,,,,A,B+,B+,,B,B+,C+,3.48
2566,100270981,C,D+,C+,A,D+,B,D+,C+,C,,D+,C+,A,,B+,D,,C+,B+,C+,,C,A,C,C,,B,,A,,D+,B+,D+,D+,B+,,A,C,C+,,,,C+,C,C,B,D+,C,C+,2.34
2565,100270987,A,A,A,A,A,A,A,B,B,,A,A,A,B+,,A,,A,A,A,,A,A,A,A,,A,A,A,,A,A,A,B+,B+,,,A,B+,,B,,A,A,B+,,C+,B+,B,3.72
2565,100270990,D,D+,C,A,C,D,C+,D,,,D+,C+,B+,C,B+,C,,C,D+,C,,B,A,C+,,,B+,,A,,C,A,F,A,,A,,C,C+,,,,A,D+,B,,D,C,C+,2.33
2565,100270991,C+,D,B,A,B,C,B,A,,,C,C+,B+,C+,D+,C,,C+,B,C+,,A,A,B+,B+,,B+,,B+,,B,A,C,A,B+,A,A,A,C,,,,A,B+,C,,D,B,B,2.81
2565,100270992,D,B,C,B+,C+,D,C+,C,,,D,C+,D+,,B,D+,,C,C,C,,C+,B+,D+,,,B,,,,B,B+,C+,B,A,C,,B+,C,,B+,,B+,,C+,,D+,D+,B,2.33
2565,100270999,A,C+,A,A,A,A,A,A,,A,A,A,A,A,,B,,A,A,A,,A,A,A,,,A,,A,,A,A,A,A,,,A,A,B,,,,A,A,A,A,A,A,B+,3.86
2565,100271000,B,B,C+,A,D,B,B+,D+,,,C+,C+,A,C+,C+,C,,C+,B,C+,,C,A,A,B,,B+,,A,,C+,A,C+,,A,B+,A,B+,C+,,B+,,C,C,B+,A,D+,B+,B+,2.97
2565,100271008,C,D+,C,A,B,C,C+,C+,C,C,B,D+,C+,,,C,,C,B,C,,C,A,C,,,B,,A,,C+,B+,C,B,B+,B+,A,B+,B,,,,B+,B,C+,C+,C,C+,C,2.54
2566,100271014,B+,D,B,A,B+,C+,B,B,C+,,D,C,C+,,B,D,,C+,B+,C+,,C+,A,B+,D,,C+,,B+,,C,A,D+,A,B+,B,,B,C+,,,,A,B,C,,D,D+,B,2.49
2565,100271067,C,C+,C,B+,B,D,C,D,C,,F,C,C+,D+,B,D+,,C,C,C,,C,B+,D+,D+,,C,,,,C+,A,C,,B,,,C,C,,,,A,C+,C+,,D+,D+,C+,2.09
2565,100271068,D+,D,C+,B+,C,B,C+,D+,C,,D+,C+,B,D,B+,C,,C+,C+,C+,,C,B+,B,,,C,,B+,D+,D+,A,D,,C+,,,C,B,,A,,C+,A,C+,,D,C,C+,2.27
2565,100271070,C+,D,C+,A,B,C+,B,C,C,,C,B,A,,A,C,,C+,C+,C+,,D+,A,C,A,,C+,,,,C,B+,B,C,,C+,B+,C+,B,,B+,,B,D+,C,B,C,C,B,2.6
2565,100271071,C+,D+,C+,A,B+,B,B,B,B,C,C+,C+,A,C,,C,,B+,B,B+,,C,A,D+,B,,C+,,A,,C+,A,C+,,B,,,C+,C+,,,,A,B+,B,,C,B,B,2.84
2565,100271074,A,D+,C,A,A,B+,B+,A,C+,C+,A,C+,C,B,,C,,B,B,B,,B,A,D+,A,,B,,B+,,C+,A,C,B+,,A,B,B+,C+,,,,B,B+,C+,,D+,C+,C+,2.8
2565,100271085,B+,D,C+,A,B,C+,C+,B,,,D+,B,B+,C,A,C,,C,C,C,,D,A,C,A,,C+,,,,D+,B,F,B,,C+,B+,C,C+,,A,,B,C+,C+,B,D,B,B,2.63
2565,100271090,B,C,C,A,C+,B,B+,C+,D+,,C+,C+,,,,B,,D+,C+,D+,A,B,A,D+,A,,B,,,,B+,A,C,B,A,B,,C+,C+,,,,A,,B,C+,C,B,B,2.71
2565,100271116,C+,D,C,A,B,C+,C+,C+,B,,B,C,C,C,B+,D+,,C,C+,C,,D+,A,D+,B,,C+,,,,D+,B,D,,B+,,A,C+,C+,,,,A,B,B,,C,C,C,2.41
2565,100271136,B+,C,C+,A,C+,B,C,B,B,,C,D+,B,C,B+,D+,,C,C+,C,,C+,A,C,B+,,B+,,,,C,A,C+,C+,,A,A,B+,C+,,,,B,,C+,,D+,C+,C+,2.63
2565,100271143,D+,C,C+,B+,B,C,B,C,,,D,C+,C+,,B+,C,,C+,C,C+,,C+,B+,D+,,,B+,,,,C+,A,C,A,B+,B+,A,C+,C+,,B,,A,,B+,C+,D+,B,B+,2.65
2565,100271144,C,C+,C,A,B,D,C,C+,,,D,C+,C+,,B+,C,,C,B,C,,C+,B,D+,,,C+,,,,D+,A,D+,B,A,B,A,C+,C+,,C+,,A,,B,C+,D,C+,C+,2.45
2566,100271146,B+,D+,B,A,B+,B,B+,C+,C+,,D,C,B,,B+,D+,,C,C+,C,,B+,A,B+,C+,,C+,,,,D,A,F,A,B+,B,,C,C+,,,,A,B,C+,,F,D+,C+,2.6
2566,100271155,B+,F,F,A,B,B+,C,B+,C+,C,C,C,B+,C,,D,,B,B,B,,C+,A,D+,A,,C+,,B+,,D,B,F,B,,B+,,D+,C+,,,,B+,B,B,,F,D+,C+,2.42
2565,100271158,C,C,D+,A,D+,C+,C+,C+,C+,,C,C+,B,,B+,D,,C,C+,C,,C+,A,D,,,B,,,,F,B,F,D+,B+,D+,A,C,B,,,,A,,C+,,D,C+,C,2.25
2565,100271162,C,D+,C+,A,C+,D,C,C+,,,D+,B,B,,B+,D+,,C,C+,C,,C+,A,D+,,,B+,,,,D,A,F,B+,A,C+,B+,C,C,,B,,A,,B,C,D,D+,B,2.37
2565,100271163,A,B,A,A,A,B,A,A,C,B+,C+,B,B,,A,B+,,C+,C+,C+,A,B,A,A,,,B,,,,A,A,A,A,,A,A,B+,C+,,,,B,B,B+,A,A,B,B,3.39
2565,100271195,A,D+,C+,A,B+,C+,C+,A,C+,D+,B,C+,C+,B,,C+,,C,C,C,,B,A,D+,A,,C+,,B+,,C,B,B+,B,,B,B,C,B,,,,B+,C+,B,,C+,C,C+,2.65
2565,100271196,A,C,C+,A,A,B,B,A,B,B+,D,B,B+,,B+,C,,C+,B,C+,,D,A,A,,,B,,,C+,C,A,C,A,,B+,A,C+,C+,,A,,B,C+,B+,A,C,B,B+,2.96
2565,100271200,A,C+,B,A,B+,C+,B+,C+,C+,B+,D,A,B,,A,C,,C,B,C,,C,B+,A,,,C+,,,,B,B+,C,A,,A,,C+,C+,,,,A,B+,B+,A,C+,C+,C+,2.92
2566,100271204,A,D,A,A,A,A,A,B,,A,A,A,A,B+,,A,,A,A,A,,A,A,A,,,B+,,,,A,A,A,A,,,,A,B,,,,A,A,A,A,B+,B+,B+,3.62
2565,100271208,D+,D,A,A,C,C+,C+,D+,C,,D,B,B,,A,C,,B,C+,B,,C,B+,D,B,,C,,B+,,C,A,C+,A,,C+,,D+,C+,,,,B+,D+,B,,D,D+,C,2.33
2565,100271216,B,C,C,A,B,B+,A,B,C+,B,B+,C+,A,,,C,,B,B+,B,C,C+,A,B,B+,,B,,,,C,B,D+,A,,B+,,C,B+,,,,A,A,A,,C+,B+,C+,2.96
2565,100271219,C,D,B,A,B,B,C+,D+,C,,C+,B,B+,,,C,,D+,B,D+,,C,A,D+,,,C+,,C,,,A,B,,,B+,,F,B+,,,,A,C+,C+,C+,C,B,D,2.53
2565,100271231,B+,B+,C+,A,B,B+,C+,B,C+,A,B,B+,B,A,,B,,B,B,B,,A,A,C,,,B,,A,,C+,A,B,B,,A,A,A,C+,,,,B+,A,B,B+,C+,B+,C,3.16
2566,100271246,A,D+,D+,A,B+,B+,B,B+,C+,C,C+,C+,A,B,,C,,B,C+,B,,C,A,D+,A,,B,,A,,D,A,F,B+,,B+,,D+,C+,,,,C+,B,B+,,D+,B,B,2.69
2566,100281821,B+,C+,C+,A,B,A,B+,C,,B+,B+,C+,,,C+,C+,,A,B+,,B+,A,A,C+,A,,C,,A,,A,,B,A,,B,,A,C+,,,,A,,B+,,A,B+,,3.21
2566,100281825,D,D,D,D+,D+,C+,B,D,,,D,F,,D+,,D+,,C+,A,,,B,A,C+,,,,,,,D+,B,F,,,D+,,C,C+,,,,A,C,C+,,C,D+,,2.09
2566,100281829,C+,A,B,B+,B+,B+,A,C+,C+,B+,C+,B+,,,,B+,,B,B,,,A,A,B+,B+,,,,A,,A,A,A,,,B+,,A,B,,,,A,B+,B+,,A,B+,,3.31
2566,100281858,D+,D+,D+,D+,B,C,C+,F,,D+,D,C+,,,C,C+,,C+,C+,,,C,A,C,C+,,,,A,,C,,D+,B,,C,,C,C,,,,A,,C,,B+,D,,2.17
2566,100281859,C+,B+,B,C+,B+,B,B+,D+,,B+,D,A,,A,,C+,,B,C+,,,B+,A,C+,,,C,,,,A,A,A,,,C+,,C+,B+,,B,,A,B+,A,,A,B+,,3.16
2566,100281866,C,B,C,B,B+,B+,C+,D+,,,D+,D,,B,,C+,,B,B+,,,B+,A,C+,,,,,,,B,,C,,,C+,,A,C+,,,,A,B+,B,,A,B,,2.78
2566,100281887,D,D,D,D+,C+,C+,B,D,,C,D,C,,,B,C,,B,C+,,B+,C+,A,C,A,,,,,,C,,D+,C+,,C+,,C,C,,,,B+,,C,,C+,D+,,2.21
2566,100281892,D+,C,D+,C+,C+,A,B,C,C,C+,D+,B+,,,B,C,,B,C+,,,D+,A,C,B+,,C,,,,C+,A,D+,,,C,A,B,B+,,B,,B+,C,B,,A,C+,,2.65
2566,100281894,D+,C,D+,D,C+,B,B+,F,,C,D,C,,C,,D+,A,B,D,,,D+,A,C+,,,,,A,,D,,D,,,D,,D,C+,,,,A,B,B,,C+,C,,2.23
2566,100281903,C+,B+,C,C+,B+,B,B+,C,C+,,C+,B+,,,,B,,B+,B,,,B,A,B,B,,,,A,,A,A,A,,,A,A,A,B,,,,A,B,B,,A,C,,3.2
2566,100281906,C+,C+,D+,B+,B,B+,B,C,,B,C+,C+,,B+,,C+,,B+,B+,,,C+,A,A,A,,,,A,,B,,C+,,,C+,,B,C+,,,,A,B+,B+,,A,B+,,3.03
2566,100281937,D+,D+,D+,C,B+,B,B+,F,C+,C,C,C+,,,B,C,,B,B,,A,D+,A,C,B,,C+,,A,,D,A,F,,,C,,D,B,,,,B+,B+,C+,,A,C,,2.63
2566,100281946,C,B+,C,B,A,A,B+,C+,C+,C+,C,C+,,,B,C+,,B+,B,,,C+,A,C+,B+,,,,,,B,A,B+,A,,,B,C,B,,,,B,B,B+,,A,B,,2.91
2566,100281955,D,D,D,D+,D+,B,D,F,D+,D+,D,D+,,,D+,C,,B,B+,,,D+,A,C,,,,,A,,D+,A,D,C,,C,C+,D+,C,,,,B+,,C,,B+,D+,,2.14
2566,100281958,D+,C,D+,B,B+,B+,C+,F,C+,D+,D,C,,,B,C+,A,B,B,,B,D+,A,C,,,C,,A,,D+,,D,,,C,,C,C+,,,,A,C,C,,B,D+,,2.36
2566,100281963,D+,C,D,C,B,C+,B,D+,,C,D+,D+,,C+,,C,,C,C,,,D+,A,C+,B,,,,,,D+,,D+,,,D,,D+,C+,,C+,,A,C+,B,,B+,D,,2.21
2566,100281968,C,B,C+,B+,C,B,B+,B+,B,A,B+,A,,,,C,,A,B,,,A,A,C,B+,,,,A,,A,A,A,B,,C+,,A,B,,,,B,B,B,,A,B+,,3.24
2566,100281970,C,B+,C,B,B+,B,B,C,,C+,D,D+,,C,,D,,C+,C+,,,B,A,C+,B,,,,,,C+,,B,,,C+,,B+,D,,,,A,,B,,C+,B,,2.41
2566,100281972,B,B+,D+,B+,A,B,A,C+,,,F,C+,,B,B,C,,B+,C,,,A,A,C+,C+,,,,A,A,C,,D+,C+,,B,,A,B,,,,A,B+,B+,,A,A,,3.01
2566,100281976,C,C+,C,B,B+,A,A,C,C,,C+,A,,,,B,,B,B,,,C+,A,B+,,,,,A,,B+,A,C+,,,A,,A,B,,,,A,B+,B,,A,B+,,3.15
2566,100281989,D+,B,F,B,B,C+,C+,C,C,A,D+,B,,,,D,,B,D+,,,C,A,C+,B+,,,,,,C+,A,D+,B+,,,,C,C+,,,,A,B+,B,,C+,C+,,2.53
2566,100281991,D+,C,D+,B,B,B,C+,D+,,,C+,C,,C+,,C,,C+,B,,,C+,A,C,B,,,,,,D+,,C,,,B+,,B+,C+,,,,A,B,B,,B+,B,,2.6
2566,100281992,C,C,D+,C,A,C+,B+,D+,,B+,D,A,,,C,C,,B,B+,,,C,A,C,,,,,,,C+,A,C+,B,,C,A,C+,C+,,,,B+,C+,C+,,A,D+,,2.65
2566,100282004,D+,D,D,C,C,C+,C+,F,D+,C+,D,D,,,C+,C,,B+,C,,,F,A,B,C,,,,,,D,A,D,,,D+,B+,D,C+,,B,,B+,C,C+,,C+,C+,,2.12
2566,100282007,C,B,C,B,A,B+,B+,C,,,D+,B,,A,B+,C,,B+,C+,,A,A,A,B,A,,,,A,A,A,,B,C,,B,B+,A,B,,,,A,B+,B,,A,A,,3.11
2566,100282008,B,B+,C,B+,A,B,C+,C+,,B+,B,A,,B+,,C,,A,C+,,,B+,A,C,B+,,,,A,,C+,A,C,B,,C+,,A,C,,,,B+,B,B,,A,C+,,2.98
2566,100282013,B,C+,C,C+,B,B,A,B,C,B,B+,A,,,,C+,,B+,C+,,,A,A,C,,,,,A,,B,A,B+,,,A,,A,B+,,,,A,A,C+,,A,B,,3.07
2566,100282014,C,B,C,D+,B,C,B,D+,,B,D,C+,,C+,,D+,,B,C+,,,D+,A,C+,,,D+,,,C,D+,,D+,,,C+,,D,C,,,,A,C+,B+,,A,D+,,2.45
2566,100282015,D,D+,D+,D+,D+,C+,C+,D,,B,D+,D+,,C,B+,C,,B+,B+,,,D+,A,C+,B,,,,A,A,D+,,F,,,D+,,D+,D+,,,,A,C+,C+,,A,C+,,2.44
2566,100282017,D+,C,D+,A,A,A,B,D+,,C+,C+,A,,,B,C+,,B,B,,,C,A,C+,B,,,,B+,,C,,C+,A,,C+,,B+,C,,,,A,,C+,,B,C,,2.71
2566,100282022,D,F,C,D,D+,B,C+,F,D+,C,D,B,,,B+,D+,,B,C+,,,C,A,C,,,,,A,,C,B+,D,C+,,,,C+,C+,,,,C,C,C+,,B+,D,,2.26
2566,100282048,D,D,F,D,C,C+,B,F,,D,D,B+,,,B,D,,B+,B,,,D,A,C,C+,,,,A,,F,,F,C,,D,,D+,C+,,,,A,,C,,B,C,,2.31
2566,100282050,D,D,D,D,B,B,A,F,C+,,D,B+,,,,B,,B,B,,,C,A,C+,,,,,A,,C,A,D+,,,D+,A,C,C+,,,,A,C+,B,,A,D,,2.52
2566,100282057,C,B,D+,C+,C+,B,B,C,,B,D+,C+,,C+,,C,,C+,B,,,B,A,C+,C+,,,,,,C,B+,C+,,,C,,C,C+,,C+,,A,B,B+,,A,C,,2.68
2566,100282067,B,A,C,B+,A,A,A,B,C+,B+,C+,B+,,,,B+,,B+,B+,,,B,A,B,,,,,A,,B+,A,B,,,A,,A,B,,,,A,B+,A,,A,B+,,3.37
2566,100282069,D+,B,C,B,B+,B+,A,D+,,B,C,B,,B+,B,B,,A,B+,,,B,A,C+,B+,,,,A,,B,A,C+,,,C+,,B,B,,,,A,B,B,,A,B,,3.02
2566,100282070,C+,A,C,B,B+,B+,A,C,,B,C+,B,,A,,C+,,B,C+,,,C+,A,C+,,,,,,,B,,C+,,,C,,B,B,,,,A,B,A,,A,B,,3.12
2566,100282075,B,A,D+,C+,B+,A,A,B,,A,C+,C+,,B,,C+,,B+,B+,,,C,A,A,B+,,,,A,,C,,D,,,C+,,B,B,,,,A,B+,A,,A,B+,,3.1
2566,100282127,C+,D+,D,B,A,B,A,C,C+,A,B,B,,,B+,C,,B+,B+,,,C,A,C+,,,C,,A,,C,A,D+,,,C+,,B,B,,,,A,B+,B+,,A,C+,,2.88
2566,100282140,D+,C,D,B,C,B,A,C,,B,D+,B+,,C+,,C,,D+,C+,,,C+,A,A,C+,,,,A,,D,,C,,,C+,,B,C+,,,,B+,C+,B+,,A,A,,2.61
2566,100282141,D+,C+,C+,C,B+,C+,B,D+,,B,D,C+,,,B,C,,B,B+,,,B+,A,C,,,,,,,A,A,C+,C,,C+,A,B+,C,,,,B+,B,C+,,A,D,,2.72
2566,100282142,C,D,D+,C,C+,A,A,D,,D+,D+,B+,,C+,,C+,,B,B+,,,D+,A,A,B,,,,,,C,,D,,,C+,,C,C+,,,,A,C+,C,,A,C+,,2.53
2566,100282146,D,C,D+,C,C+,B+,B+,C,,,D+,D,,C,,D+,,C,B+,,,A,A,B,B,,,,,,C+,,D+,,,C+,,A,C+,,,,A,B,B+,,C+,C,,2.49
2566,100282150,D+,C+,D+,C,C+,D+,D+,D,D+,C,D,C+,,,C+,D+,A,B,D+,,,F,A,C,,,,,A,,D+,A,D+,D+,,,A,D+,C,,,,A,,C,,C+,D+,,2.19
2566,100282158,C,B+,D+,B+,B+,A,C+,C,,B+,C+,C+,,,B,D+,,C,B+,,,B,A,C,,,,,,,C,A,C,A,,C+,B+,A,D+,,,,B+,C+,B,,B+,C+,,2.7
2566,100282167,C,C,C,D+,B+,C+,B,C,,B,D,B,,B+,,D+,,B+,C+,,,B,A,C,B,,,,A,,C+,A,C+,B,,C+,,A,B,,,,B+,B+,B,,A,B,,2.79
2566,100282172,D+,C,D+,C+,C+,B,A,D+,,C+,D+,B,,A,B,B,,B+,B+,,,B+,A,C+,B,,,,A,,C+,A,C,,,C+,A,B,B,,,,A,B,B,,A,B,,2.95
2566,100282177,C,C+,C,B,A,B,B,C+,,,A,B,,A,C+,C,,A,B,,,B+,A,C,B+,,,,A,,C+,A,C+,A,,B+,,A,C+,,,,A,B,B,,A,B,,3.03
2566,100282178,B+,A,C+,B+,A,A,A,C+,C+,,C+,A,,,,B+,,B,B,,,C+,A,A,,,,,,,A,A,A,,,A,A,A,B+,,,,A,B+,A,,A,A,,3.54
2566,100282180,C,B,D+,A,A,B,C+,B,,B+,F,B,,A,,D+,,B,B+,,,A,A,C,B+,,C+,,A,,C+,A,D+,,,A,,A,C,,D+,,A,B+,B+,,A,B,,2.93
2566,100282183,B+,B,C,B,B+,B+,A,B,,,C+,B,,A,B+,B,,B+,B+,,,B+,A,B,A,,,,A,A,B,,A,A,,C+,,A,B,,,,A,B+,B,,A,A,,3.32
2566,100282184,C,C,C,B,B+,B,D+,D,C,A,C+,B,,,C+,C,,C+,C+,,,B+,A,C,,,C,,A,,C+,,C,C+,,A,,A,C,,,,C+,,B,,B+,B,,2.66
2566,100282185,D,C,D+,B,C,B,D+,C,,,D,D+,,C+,,D,,C+,C+,,,C+,A,C,,,,,,,C,B+,F,,,C,,C+,C,,,,A,B,C+,,C+,B,,2.37
2566,100282190,D+,F,D,D+,C,B,B,F,,D+,D,C,,C,C+,C,,B,B,,,D,A,C+,,,,,A,A,F,A,F,,,D+,,D,D+,,,,B+,C+,C,,B+,D+,,2.28
2566,100282214,C,C+,C,B,A,B,A,C,B+,B,C+,B,,,A,B,,B+,B+,,,C,A,C,,,C,,A,,B,A,C+,,,C+,,C,C,,,,A,B+,C+,,A,B,,2.92
2566,100282216,D+,C,C,B,B+,A,A,D+,,C+,F,C+,,B,,C,,C,C,,,C+,A,A,,,,,A,,D,A,F,,,C+,,C+,C+,,,,A,B+,C+,,B,B,,2.63
2566,100282232,A,A,A,A,A,A,A,A,,A,A,A,,A,,A,,A,A,,,A,A,A,,,,,A,,A,,A,,,A,,A,B,,,,A,A,A,,A,A,,3.97
2566,100282234,C,C+,C+,B,B+,B,C,D+,C,C,C+,C,,,C,C,,B+,B+,,,C+,A,C,B+,,B,,A,,B,,C,D+,,B+,,B,C+,,,,C+,,C+,,A,B,,2.71
2566,100282249,D+,C,D+,C,D+,B,C+,D+,C,,D+,C,,,B,D+,,B+,B,,,D+,A,C,,,,,A,,C,A,D+,B+,,C,,C+,C+,,,,A,C+,C,,B+,C+,,2.46
2566,100282260,D+,D,D,C,C,B,B+,F,,D+,D,D,,C+,B,C,,B,B,,,D+,A,B,,,,,A,,C,B+,F,,,D+,,D+,C+,,,,A,C+,C,,A,D,,2.34
2566,100282276,D+,C,D,C,B,B,C+,D+,,C,F,C+,,,B,C,,B+,C+,,,C+,A,C,,,D,,A,,D+,A,D,A,,C+,B+,C,B,,,,A,,B,,B+,C,,2.41
2566,100282279,D+,C+,D+,C+,C+,B,B,D+,C,C+,D+,B+,,,A,C,,B+,C,,,C,A,C+,B,,C+,,,,C+,,C,,,C+,,B,C+,,B+,,A,C,B,,B,C,,2.6
2566,100282283,C+,C,D+,B,A,C+,B+,D+,B,B,D+,B,,,A,C+,,B,B,,,D+,A,C+,B,,C,,A,,D+,,F,,,C+,,D,C,,,,A,A,B,,A,C,,2.59
2566,100282291,D+,C,D+,C,C+,B+,A,C,,C+,D,C+,,C,,D+,,C+,C,,,D+,A,A,C+,,,,A,,D+,,F,,,C,,C,C+,,,,A,C+,B+,,B,C+,,2.47
2566,100282295,A,A,A,A,A,A,A,A,B,A,A,A,,A,,A,,A,A,,B+,A,A,B+,,,B,,,,A,,A,,,A,,A,B,,,,A,A,A,,A,A,,3.84
2566,100282300,D+,D,D,D+,C,B,B,F,D+,C,D,D+,,,B,C,,B+,C+,,,F,A,C,C,,D,,,,D,A,F,,,D,A,D,B,,D+,,A,C+,C,,C+,D+,,2.07
2566,100282301,D+,D+,D,C,B,B,B+,D,,B,C,D+,,C,B,C+,,B,B+,,,D,A,B,,,,,A,,D+,A,F,,,D,,D,C+,,,,A,B,C+,,A,D+,,2.44
2566,100282306,D+,C,D+,B,C+,B+,B+,D+,,C,D+,D,,C+,B,B,,B+,B+,,,C,A,C,C+,,,,A,,C,A,D+,,,C,A,C,C+,,,,A,B+,B,,A,C,,2.68
2566,100282310,A,A,C+,B+,A,A,B+,C+,,A,C+,C+,,A,,C+,,B+,B,,,B+,A,B,A,,,,A,,A,,B,,,B,,A,A,,,,A,B,A,,A,A,,3.45
2566,100282312,C,B+,D+,C+,B,B+,B,C,C+,B,C+,C,,,,C,,C+,B+,,,C+,A,C,B+,,,,,,C,,D,,,C+,,C+,D+,,,,B+,,A,,B+,B,,2.59
2566,100282316,C+,B+,D+,A,A,A,A,C,C,,A,B,,,C,B,,A,A,,,A,A,C,A,,C+,,,,B,,A,A,,B,,A,B,,B,,A,B+,B+,,A,A,,3.28
2566,100282328,C+,C+,C+,B,B+,B+,B+,C,,B,C+,C+,,A,B,B,,B+,B+,,,A,A,B,,,,,A,A,A,A,C+,,,C,A,A,C,,,,A,B,B,,A,A,,3.22
2566,100282334,D+,C+,D+,C+,B+,B+,B+,D,C+,C+,D+,C,,,,C+,,C+,B,,,C+,A,C,B+,,,,A,,B+,A,C,,,C+,B+,D,C,,,,B+,B,C+,,A,D+,,2.56
2566,100282344,D+,C+,D,C,B+,B+,B+,D,,,D+,D+,,C,B+,C+,,A,C,,,D+,A,C+,,,D+,,A,A,D+,,D,D+,,D+,,D,C,,,,A,B,C+,,A,D+,,2.34
2566,100282356,C+,A,C+,C,A,B,B+,C,,A,B,B+,,,,C,,B,A,,,C,A,C+,,,,,,,A,A,A,C,,C,A,B+,C+,,,,A,B,A,,A,B+,,3.19
2566,100282359,D+,D,C,B,C+,B+,B+,C,,,C,C,,C+,B,C,,C+,B+,,,C,A,C+,C+,,,,A,,D+,A,D+,D,,C+,A,C,B,,,,A,B+,C+,,B+,C+,,2.68
2566,100282360,C+,D+,D,B,C+,B+,C+,C,,B,D+,C+,,B,,C,,B,C,,,C,A,A,C,,,,A,,D+,,D,,,C+,,A,C,,,,A,B,B,,A,C,,2.52
2565,100287192,D,C,F,A,C+,B,C,C+,C,C+,C,A,C,,,D+,A,,,C,,C+,A,D+,C,,B,,,,C+,,C,,B+,,,D,C+,,,,B,,B,,A,C,C,2.51
