GRADUATEYEAR,STUDENTID,กฏหมายพื้นฐานเพื่อคุณภาพชีวิต,การจัดการการดำเนินชีวิต,การตรวจวัดสัญญาณและการดำเนินงานสำหรับอินเทอร์เน็ตของสรรพสิ่ง,การตลาดดิจิทัล,การบริหารการผลิต,การประมวลผลรูปภาพดิจิทัล,การประมวลผลแบบกลุ่มเมฆ,การพัฒนาโปรแกรมประยุกต์บนอุปกรณ์เคลื่อนที่,การพัฒนาโปรแกรมประยุกต์เชิงมัลติมีเดีย,การวิเคราะห์และออกแบบระบบ,การสื่อสารภาษาอังกฤษเพื่อการนำเสนอผลงานด้านเทคโนโลยีคอมพิวเตอร์,การสื่อสารภาษาอังกฤษเพื่อการวิเคราะห์เชิงวิชาการด้านเทคโนโลยีคอมพิวเตอร์,การสื่อสารภาษาอังกฤษเพื่อวัตถุประสงค์ด้านเทคโนโลยีคอมพิวเตอร์,การออกแบบและวิเคราะห์อัลกอริทึม,การเขียนภาษาอังกฤษเพื่อการสื่อสารอย่างมีประสิทธิภาพ,การเขียนโปรแกรมเชิงวัตถุ,การเมือง เศรษฐกิจ  และสังคม,การโปรแกรมบนอินเทอร์เน็ต,คณิตศาสตร์สำหรับวิทยาศาสตร์,คณิตศาสตร์เต็มหน่วยสำหรับวิทยาการคอมพิวเตอร์,คณิตศาสตร์และสถิติในชีวิตประจำวัน,ความมั่นคงปลอดภัยของระบบเครือข่าย,ความรู้พื้นฐานด้านหุ่นยนต์,คอมพิวเตอร์กราฟิกและแอนิเมชัน,คอมพิวเตอร์สารสนเทศขั้นพื้นฐาน,ชีววิทยาเบื้องต้น,ดนตรีวิถีไทยศึกษา,ทักษะชีวิต,ทักษะภาษาไทย,ประชากรและการอนามัยเจริญพันธุ์,ประวัติและพัฒนาการของเทคโนโลยีคอมพิวเตอร์,ประเพณีไทยและศาสนาในไทย,ปรัชญาวิทยาศาสตร์,ปัญญาประดิษฐ์,พลังงานและเทคโนโลยีใกล้ตัว,พีชคณิตเชิงเส้นและการประยุกต์,พื้นฐานทางการเขียนโปรแกรม,ฟิสิกส์เบื้องต้น,ภาพพิมพ์,ภาษา สังคม และวัฒนธรรม,ภาษาอังกฤษพัฒนา,ภาษาอังกฤษพื้นฐาน,ภาษาอังกฤษเชิงวิชาการ,ภาษาโปรแกรม,มนุษย์กับสิ่งแวดล้อม,ระบบฐานข้อมูล,ระบบปฏิบัติการ,วิถีชีวิตในยุคดิจิทัล,วิทยาศาสตร์ข้อมูล,วิธีการเชิงตัวเลข,วิศวกรรมซอฟต์แวร์,สถาปัตยกรรมคอมพิวเตอร์,สถิติวิเคราะห์,สัมมนา,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์,เคมีทั่วไป,เคมีเบื้องต้น,เครือข่ายคอมพิวเตอร์และการสื่อสารข้อมูล,เทคนิคการทำเหมืองข้อมูล,เทคโนโลยีมัลติมีเดียและเว็บ,เว็บเทคโนโลยี,แคลคูลัส,แคลคูลัสสำหรับวิทยาศาสตร์,โครงสร้างข้อมูล,GPAจบ
2563,100249235,,B+,B,,,B,B,B+,B+,B+,B,C+,D+,C+,,B+,,A,B,B,,,C+,,C,D+,,,C,,A,,,B,,B+,B+,,,,C,C,D+,,,A,C,C+,,C+,B,B,D+,B+,,D,,C,B,,,,C,C,2.75
2563,100249262,,A,,,,,B+,B,B+,C+,A,A,B+,C,,A,,C+,C,C,,B,,C+,B,C,,,C,,B+,,,B,A,C+,A,,,C+,B,B,C+,,,B+,C+,A,B,D,B,B,D,B,,D,,C,C+,,,,D,C,2.71
2563,100249265,,A,B+,,,A,,A,B+,A,A,C+,B,C+,,B+,,B,C+,B+,A,,B+,,C+,C,,A,B,,A,,,A,,A,A,,,C+,B,C+,C+,,,A,B+,B+,B+,B,A,B+,D+,A,,D+,,C,B,,,,D+,C,3.13
2563,100249268,,A,B+,,,B+,,C,B+,B,B+,B,C+,C,,C+,,C+,F,C+,,,B,,C,D,,A,C+,,A,,,B,,B,B+,,,B,B,B,C+,,,C+,C+,B,C+,,B+,B,D,A,,D,,D+,B,,,,D+,D+,2.66
2563,100249276,,A,C+,,,,C+,D,,B,C+,D+,C,C,,B,,D+,C,C+,,,C,,C+,C,A,A,C+,,B+,,,B,,A,B,,,,C,C,C,,,B+,C,B,C,D+,C+,C+,C,B+,,D,,C,B,,,,C,D+,2.52
2563,100249281,,,,,,,C,D+,C,C+,C+,B,C,C,,C,C+,C,D+,D,,C+,,B+,C,D+,C+,B+,C+,,B+,,,C,C,C,C+,,,,B,B,C,,,D,C,A,,,C,D+,D,B+,,,,D,C+,,,,D+,D+,2.15
2563,100249287,,A,B+,,,B,,A,B+,B,B+,C+,D+,B,,A,,C+,A,A,,,A,,C+,D,B,,C,,B,,,B+,A,A,A,,,,C,C,C,,,C,C+,B,B,B+,B,A,C+,A,,D+,,C,C+,,,,A,B+,3.08
2563,100249313,A,,C,,,,B,,,B,A,C+,B,C,,C,B,C+,D,D+,,,C+,,C+,D,B+,,C+,,B+,C+,,B,,C+,C,,,,C+,B,C,,,B+,C+,B,C,C+,B,B,D,A,,D,,D+,C+,,,,D,D,2.44
2563,100249317,,A,,,,,,C+,B,C+,B,C+,C,C+,,A,,C,C+,C+,,C+,,B,C+,D+,,A,B,,B+,,,C+,A,A,B+,,,C+,B,B,D+,,,F,C+,B+,C,D,B+,B+,D,C+,,D,,C,A,,,,D+,D+,2.72
2563,100249340,,B+,C+,,,,C,D,,B,C+,D,C,C,,C,,D+,F,B+,,,C,,C,D,B,A,C,,B,,,B+,,B,C,,,,D+,D+,C,,,C,C+,C+,C,C+,C,C,C,B+,,D,,C,C+,,,,C+,D,2.34
2563,100249355,,,B,,,,C+,C+,,B,A,A,A,B,,A,B+,C+,D+,C,,,B+,,C+,C,B,B,C+,,A,,,C,A,C+,A,,,,A,A,A,,,B+,A,B,C+,D,C+,D+,D+,A,,D,,C,B,,,,D+,C,2.81
2563,100249378,,A,B+,,,C,C,,B+,C+,C+,C+,C+,C,,C,,B+,D,D+,C,,C+,,B+,D+,,A,C,,A,,,C+,,C+,B,,,B,C,C,C,,,A,C+,B+,B,,B+,C,D,A,,D,,C,C,,,,D+,C,2.5
2563,100249382,,A,,,,,C+,C,B+,C+,C+,D+,D+,D+,,C,,C,D+,D,,C+,,C+,C+,D,,,C,,B+,C,,C,,C,D+,,,,C,C,D+,,,D+,C,B,,D,C,C,D,B+,,D,,D,C,,,,D+,D+,2.07
2563,100249400,,A,A,,,A,,A,A,A,A,B,B,B,,A,,B,B,A,,,B+,,B+,D+,,A,C+,,A,,,A,,A,A,,,B,B,B+,C+,,,A,B+,B+,A,A,A,A,C,A,,C,,C,C+,,,,C+,B,3.39
2563,100249405,,,B+,,,B,,C,B+,D+,A,B+,B+,C+,,C+,A,C+,C,C+,A,,A,,C,D+,,A,C,,B+,,,C+,,B+,C+,,,C,B,B,B,,,B,C+,B,B,C,B,C,D,A,,D,,C,B,,,,B,D+,2.63
2563,100249406,,,B+,,,B+,B,B,,C,B,B,C,C,,A,,C+,D,C+,,,B,,C+,D,C+,A,C+,,B+,,,B+,,C+,B+,,,,C+,C,C,,,B,B+,B+,,D,B,C+,D,A,,D,,D+,C,,,,F,C+,2.58
2563,100249415,,,B,,,,C,C+,B,B,C+,D+,D,C,,C,,C,D+,D,,,C+,,C,D+,,,F,,C,C+,,D+,,,B+,,,C+,C,F,D+,,,D,C,C+,,C,C+,C,D+,C+,,D,,D+,B,,,,F,D+,2.1
2563,100249416,,A,B,,,,B+,C+,A,C+,B,C+,D+,C,,A,,B,D+,C+,,,B,,C+,D+,B+,,C+,,A,C,,B,A,B+,B+,,,,C,C,C,,,B,C+,A,,C,C+,B,D,A,,D,,C,C+,,,,F,C,2.68
2563,100249428,A,,C,,,,B,,B,C+,B+,D+,C+,C,,C+,,D+,D,C,,,B+,,B,D+,,,C+,,A,,,C,,C+,C,,,B,C+,C+,C+,,,B,C,B,C,D,C+,C+,F,B+,,D+,,C,B,,,,F,D+,2.4
2563,100249434,,A,C,,,,B+,D+,A,B,C+,C,B+,C,,B,,C,D,D+,,B,C+,,B,D,C+,,C,,B+,,,B,A,D+,B,,,,B+,C+,B,,,D,C,C+,,,B,C+,F,B,,D,,C,C+,,,,F,C,2.39
2563,100249461,A,,C+,,,A,,B,B,C+,B,B,B,C,,B+,,C,D+,B,,,A,,C,D+,,,C,,A,,,B+,,C,A,,,C+,C,C,C,,A,A,C,A,B+,C,B,C+,D,A,,D,,C,C+,,,,D+,C,2.65
2563,100249463,,,B+,,,B+,C+,,B+,C+,B+,B,B,B,,C+,B+,C,D+,C+,C+,,B,,C,C,,A,C+,,A,,,C+,,C+,A,,,B,B,D+,B,,,D,C,B,C+,,B,C,F,A,,D,,C,C+,,,,D+,D+,2.59
2563,100249498,,,C+,,,B,B+,,,C,B,B,C+,C,,C,C+,B,D+,D,,,C+,,C,D,,A,C,,B+,C+,,C+,A,,C,,,,C,D+,C,,,D+,C,B,B,D,C+,C,D,B+,,D,,D+,B,,,,,D,2.17
2563,100249499,,,C+,,,,B+,,,C,B+,C+,B,C+,,C+,B+,C+,C,C,,,C+,,C,D,B+,A,B,,A,B,,D+,,C+,C+,,,,C+,B,B,,,C,C,C+,D+,D+,B,C+,D+,B,,D+,,D+,C,,,,C,D,2.45
2563,100249506,,,C+,,,,B+,D+,A,C,C,C,C,C+,,B,,D+,F,C,,,B,,B,D,C+,A,C,,A,A,,C+,A,C+,B,,,,C,C,C,,,A,C,B+,,D+,C+,C,D+,A,,D,,D+,C,,,,F,C,2.46
2563,100249518,,A,C,,,C,,D+,B,C,C,C+,C,C,,B+,,D+,D+,C,,,B+,,C+,D,B+,,C+,,B+,,,D+,B+,B,A,,,,C+,D+,C,,,D,C+,B+,C,D+,C+,C+,D,A,,D,,D,C+,,,,D+,C,2.31
2564,100215265,,,,,,,,C,,,,,,D,,D+,C+,C,,B,C+,,,,,F,,,C,,,,C+,F,D+,,B,D+,,C,C+,B+,B+,D,,D,D,,,,C+,C+,D,B,C+,,D+,D,,,,,,,2.01
2564,100239685,B+,,,,,,,C+,B+,,,,,B,,C,,,,B,,,B+,,,C,B+,A,B+,A,,C+,B+,C+,A,,C+,D,,C+,A,A,C,B,A,B+,B,,,,C,C+,D+,C+,,,C,D+,A,,B+,F,,C+,2.82
2564,100239901,C,,,,,,,C,B,,,,,D,,F,,,,D+,,,,,,D,B,B+,B,C+,,C,C,D,C+,,C,D+,,C,B,D+,C,B,B+,D,C,,,D,C,D+,,D+,,,,D,D+,,D+,,,D,2.03
2564,100248988,,,C+,,,C,,,B,C,B+,B,D+,C,,C,,C,D,C,,,B,,C,D,,A,C,,A,,,C+,B,,B,,,B,C,C+,C,,,D+,C+,C+,C+,D+,C,C,D,A,,D,,F,C,,,,,D+,2.12
2564,100248992,,A,C+,,,D,,D,B+,C,C+,C+,C+,D+,,C+,,C+,F,D,,,C,,C,D,B+,,C,,B+,,,D,A,C,B+,,,,C,C,C,,,D,C+,B+,C,D,C,C,F,A,,D,,D+,C,,,,F,D,2.09
2564,100249009,,,,,,,C+,D,C+,C,D+,C,C+,D+,,C+,C,C,C,C,,,,C,C,D,,,C+,,B+,,,D+,B,C+,C+,,,C+,C,C,D+,,,D,C+,B+,D+,D+,C,C,D,B+,,D,,D,C+,,,,D,D,2
2564,100249056,,,B,,,,C,D+,D+,D,B,C+,D+,D,,B,,D,D+,D,,,D,,C,F,,,C+,,A,,,D+,C+,D,A,,,B,B+,A,B,,,F,B,A,F,,C,C,F,B,,F,,D,,,,,F,C,2.03
2564,100249112,,,,,,C,,,B,D+,C,D+,C,D+,,D,,D,D,D+,,B,,C+,C,D,,,C,,A,,,D+,A,C,B,,,C+,C,C+,C,,,C,C+,B+,C,D,C,C+,D,C,,D,,D,C,,,,D,D,2.03
2564,100249157,,,,,,B,,,B,C,B+,C+,C,D+,,C,,D,,C,,B,,B+,B,D,,A,C+,,B,,,D+,A,C,D+,,,C,C,D+,C,,,B+,C,C+,C,D,C+,C+,D,B+,,D,,F,C,,,,C,D+,2.2
2564,100249331,,,,,,,B,,B,D+,C,D,C,C,,D+,B,C,F,D,,,,B,C,D+,,,C+,,A,,,C,,C+,C,,,C+,C,C,C,,,C,C+,B,C,D,B+,C,,B+,,D,,F,C,,,,F,D,2.19
2564,100249419,,A,B+,,,,C+,,C+,C,B+,C+,C+,D+,,C,,B,D,D,,,C+,B,C,F,B,,C,,B+,C,,D+,A,B,C+,,,,C,C,C,,,C,C,B+,,D,C,C,D,C+,,D,,D+,C+,,,,F,D,2.16
2564,100249457,,,C+,,,C,B+,,,C+,D,D+,D+,C,,D,,C,D+,D,,,D,,C,D,,B+,C,,A,,,D,,C,C,,,C+,C,C,C,,B,D,C+,C,D,,C+,D+,F,B,,D,,D,C,,,,D+,D,2.03
2564,100249527,,,,,,,C+,,,D+,C,C+,D+,C+,,B,C+,B,D,C+,,C,,C+,C,D+,B,A,C+,,A,,,C+,A,C,B,,,,C,C,C,,,B,B,B,C,D,C+,D+,F,B,,D,,D+,C+,,,,D+,D,2.27
2564,100260652,,A,,,,,,,,C,C+,C,C+,C+,,B,A,C,C+,C,B,,,B+,C,C,A,,C+,,A,,,C+,,C+,B,,,,C,C,B+,,,C+,D+,,C,C+,C,C+,D+,A,,D+,,C,C,C,,,D+,D+,2.55
2564,100260653,,,C+,,,C,,,,C,B+,B,C,B+,,A,C+,C+,C,C,,D+,,,C+,D+,B,,C+,,B+,C+,,D,,C+,A,,,,C+,C+,B+,,A,C+,C,,,C+,C+,C+,C,C+,,C,,D+,C+,B+,,,C+,D+,2.49
2564,100260658,,,,,,B+,,,,C+,C+,C+,C,C+,,C,B,A,C,D+,,,,A,C+,D+,A,,B,,A,,,C,,C,C+,,,,C,C,B+,,,B,C+,,C+,D,B,C,D+,A,,D+,,D+,C+,C+,,,D+,D,2.54
2564,100260661,,,C+,,,B,,C+,,C+,C+,B+,C,B,,B,B,A,D,D+,,C+,,,C+,D,C+,A,C,,B+,C+,,D+,,C+,C,,,,C,C,B+,,,B,C+,,,D,C+,C+,D+,B,,D+,,C+,C+,B,,,,C+,2.42
2564,100260662,,A,C+,,,B+,,B,,C+,C+,C,C,C+,,B+,B,A,A,B,,,,,B,D+,B,,B,,A,,,C+,,B,A,,,,C,C,B,,,C+,C,,,C+,C+,B,,B+,,D+,,C,C+,A,,,C,C+,2.92
2564,100260667,,,A,,,A,,A,,C+,A,A,A,A,,A,A,A,C,C+,,B+,,,B,C,A,A,C,,A,C+,,B+,,A,A,,,,A,A,A,,,A,A,,,A,B+,A,B,A,,C,,A,C+,A,,,D+,B,3.4
2564,100260678,,,B,,,C+,,,,B+,B,C+,C,C+,,C,B+,A,D+,C,,D+,,,C+,D,B+,A,C+,,A,,,C+,,C+,C,,,,C,C,B,,,B,C,,,D,B,C,D+,B,,C,,D,C+,C,,,D,C,2.46
2564,100260684,C+,A,C,,,C,,,,C,B+,A,B+,D+,,D+,,C+,D,D,,F,,,C+,D,B,,C,,A,,,D+,,D+,C,,,,C+,B,B,,,B,C,,,D,C,C,D,A,C+,D+,,D,C,B,,,,D+,2.15
2564,100260689,C,,B,,,,,,,D+,D+,C+,C+,C,,B+,C+,B,C,D,,D,,,B+,D+,C+,,C,,A,C,,D+,,C+,A,,A,,C+,C,C,,,D+,C,,,D,C,C,D,A,,D,,D,C,C+,,,D,C+,2.1
2564,100260700,,,,,,C,,,,C,A,A,A,C+,,A,A,C+,C,D+,,D+,,B+,C+,C,B+,,B,,A,C+,,D+,,B,A,,,,B,B,A,,,B,C+,,,D,C,C+,D,B,,D+,,C,C,A,,,,C+,2.7
2564,100260701,,,,,,,,D+,,C+,B,C,B,C,,C+,,C+,D+,C,,B,,A,B,C+,A,,C+,,B+,C+,,D+,,C+,B,,,,C+,C+,B+,,,C+,C,,,D+,C,C,D+,B+,,D+,,C,C+,B,,,,D+,2.52
2564,100260717,,,B,,,,,D+,,C,C+,C+,C,C,,C+,B,B,D,D,,,,C+,C,D+,C+,,C,B+,B+,,,C,,C,D+,,A,,C,C,C+,,,C+,C,,,,C,C+,F,A,,C,,D+,,C,,,D,D,2.18
2564,100260731,,A,,,,,,B+,,D+,B,B+,B,C+,,A,,D+,B,D,,,B,,B,D+,B,,C,B+,B+,,,C,,C+,A,,A,,B+,B,B+,,,B,C,,,F,C,C+,D+,B,,D,,D,C,A,,,C+,C+,2.65
2564,100260747,,A,,,,,,,,C+,B+,B+,C+,B,,B+,,C,C,C,C+,,,B,B,D+,A,A,C+,,A,,,C,,B,B+,,,,B,B,A,,,B,C,,C+,D+,C,B,C,A,,D,,C,C+,B,,,D+,C,2.71
2564,100260763,,,B+,,,C+,,,,C,B,A,A,B,,C,,C,D+,D+,,B,,,B,C,B,,C,,A,C+,,D+,,C+,A,,,,C,B+,B+,,A,C+,C,,,D,C+,C+,D+,B+,,C,,C,C,C,,,C,D+,2.43
2564,100260771,,,B,,,A,,A,,C,B+,B+,B+,C,,A,,C,D,D+,,,,,C+,D,B+,,C+,B+,A,,,C,,C+,A,,,,C,C+,A,,,B,C+,,,D+,B,C+,D,A,,D,,D+,C,B+,,,,D+,2.61
2564,100260773,,B+,,,,,,,,C,C+,D+,C,D+,,C,,C,D+,D+,C+,,,C,C+,C+,A,A,C+,,A,,,D+,,C,B+,,,,C,C+,A,,,C+,C,,C,D+,C,C+,D,B+,,D+,,F,C,C,,,D+,D+,2.3
2564,100260774,,,B+,,,A,,A,,C+,B+,B+,B+,A,,A,C+,A,D+,C+,,B,,,B,D+,A,A,C+,,A,C+,,C+,,B+,A,,,,B,B,A,,,B+,C+,,,A,A,A,B+,B,,D,,C+,C+,A,,,,A,3.13
2564,100260780,,,C,,,C,,,,C,B+,B,B+,C+,,B,C+,C+,C,D+,,C,,,C+,D+,B,,C,,A,C+,,D+,,B,C+,,,,C+,B,B+,,,B,C,,,B,B,C+,C,B,,C,,C,C,C+,,,D+,D+,2.42
2564,100260798,,,B,,,D,,D,,D+,C+,C+,B,D+,,C,C,C,,D,,,,,C,D,C,,C,A,A,,,D,,D+,B,,A,,C,C,B+,,,C+,C,,D+,,C,D+,D,B+,,D,,F,,C,,,,D,2.11
2564,100260799,,,,,,,,C,,C+,B+,C,B,C,,B,,B,F,C,,C,,B,C+,D+,B,,C,,A,C+,,D,,C,C,,,,C+,C,A,,,C+,C+,,,D,B,C,D+,A,,D,,D+,C,C+,,,,D,2.38
2564,100260827,B+,A,B,,,,,,,B+,B+,A,A,B+,,A,,C+,B,C+,,C,,B,B+,D+,A,,C+,,A,,,C,,C+,A,,,,B,B+,A,,,B+,C,,,C,B,B+,C,A,,C,,C,,B+,,,,C,3.03
2564,100260842,,,,,,,,,,C,B+,B,B+,D,,A,D+,B,B+,C,,,,C+,B,D+,B+,,C,,A,,,B,,C+,B+,,,,B,C+,A,,,C+,C,,D,D,C,D+,D+,A,,D,,D,C+,D+,,,C,D+,2.33
2564,100260844,,A,,,,C+,,C,,A,B,D+,C+,B,,C,B+,C+,C,D+,,,,B+,C,D+,B+,,C,,A,,,D+,,C,C+,,,,C,C,B,,,B,D+,A,,D,B,C,D+,C+,,D+,,F,C+,B,,,D,D,2.42
2564,100260850,,A,C+,,,C,,,,C,B,B+,B,C,,D+,,C,D,,,D+,,,C,D+,B,,D+,,B,,,C,,D+,C,,,,C+,C,C+,,A,C,C,,,D,C,C,C,B,,C,,D+,C,C,,,,D,2.14
2564,100260860,,A,B,,,B+,,C+,,C+,B+,B+,B,B,,C,,C+,D+,C,,,,,C+,D,B,,D,,B+,,,B,,C,B,,,,C+,C+,A,,,C+,C+,,,D+,B+,B,D+,B+,,D+,,C,C+,C,,,,C,2.55
2564,100260864,,,B+,,,,,C+,,C+,D+,C+,B+,B+,,A,,C,B,C+,,B+,,,B+,C,B+,,C+,,A,,,C+,B+,A,A,,,,C,C,C+,,,B+,C,,B,A,C+,A,C+,A,,C+,,C+,B+,A,,,B,A,3.1
2564,100260885,,,C+,,,,,B+,,B+,C+,A,A,D,,A,C+,B,C,C,,,B,,B+,C,B+,,B,,B+,,,D+,,C+,A,,,,A,B+,A,,A,C,C+,,,D,B+,B,D+,B+,,D+,,C,,A,,,,B+,2.79
2564,100260890,,,B,,,B,,,,B+,C+,B,B,B+,,C,,A,C,C+,,C+,,,C,D+,B+,A,C,,B+,C+,,C,,B,D+,,,,C,C,B,,,B,C+,,,C,C+,C+,C,B+,,C,,C,B,C,,,C,D+,2.62
2564,100260892,,,C,,,C,,,,C,B+,B+,B,C+,,A,C+,C+,C,D+,,C,,,C+,C,B+,,C,,A,C+,,C,,C+,B+,,,,B,C+,B,,,B,C+,,,D,C,D+,D,C,,C,,F,C,C+,,,D+,D+,2.37
2564,100260909,,A,C,,,B,,A,,C,B+,B,D+,D+,,A,,C,B+,D,,,,C+,B+,D,A,A,C,,B+,,,C+,,C,A,,,,C,C+,B+,,,D+,C,,,D,B,C+,C,A,,D+,,D,B,B+,,,D+,C,2.58
2564,100260921,,A,,,,A,,C+,,C+,B,B,C+,C+,,A,C,A,D,C,,D+,,,C+,D,C,,C,,A,,,C+,,C,A,,,,C,C,B+,,,B,C,,,C+,C,B+,D+,A,,D,,D,B,B+,,,D+,C+,2.54
2564,100260935,,,,,,,,D+,,C,C,B,C+,B+,,C,B,C+,D+,D+,,F,,B+,C+,D+,B,,C+,,B,C+,,C,,D+,B+,,,C,C,C,B+,,,C+,C,,,D,C+,C+,D,C+,C+,D+,,D+,C,B,,,,D+,2.22
2564,100260960,,A,C+,,,C+,,C+,,C+,C+,A,B+,B+,,A,C+,C+,C,C,,,,,C+,D+,B+,,B,,A,,,C,,C,A,,,,C+,C+,A,,,C+,C,,,D+,B,C,D+,B+,,D+,,D+,C+,B,,,D,C+,2.65
2564,100260971,,,,,,C,,,,A,C,D+,C,C,,C,B+,C+,F,D,,,,C+,C,D+,C,,C,,B,C+,,C+,,C,D+,,,,C,D,B+,,,C+,C,,,D,C,D,D+,B,B,,,F,C,C,,,,D,2.16
2564,100260972,,,B,,,B,,,,B+,C,C+,C,C+,,C,,A,D+,C,,D+,,,C+,C,A,A,C+,,A,C+,,C+,,C,C,,,,C,C,B,,,C+,D+,,,D+,C+,D+,D+,A,,C,,C+,C,B,,,C,F,2.47
2564,100260987,,,B,,,C+,,,,B+,B+,B,C+,B,,D,,A,D+,D+,,,,,C,D,B,A,C,,B+,,,D+,,D,D+,,,,C,C,B,,,B+,C+,,C,D,C+,D,F,B,,C,,F,B,C+,,,,D,2.38
2564,100260991,,,B+,,,A,,B,,B,B+,B,A,A,,A,C+,A,D+,C+,,B,,,B+,C+,B+,A,C,,A,C+,,B,,B,B+,,,,B,B+,A,,,C+,B,,,B,B+,B+,C+,B+,,C+,,A,C+,B+,,,C,A,3.16
2564,100261022,B+,,B,,B+,,,A,,A,C+,A,A,A,,A,,B+,B+,B,,,,,B+,C+,C,,B,,A,,,B+,,A,A,,,,B,B+,A,,A,B,B+,B,B,C+,C+,B,B,A,,D+,,D+,C+,B+,,,B,D+,3.14
2564,100261023,,B+,,,,,,B,,C,A,A,B+,B,,A,,B,B+,B,,D,,A,C+,C,B,,C+,,B,C+,,C,,D+,B,,,,C+,C,A,,,C,C,,,B+,C+,B,C,B+,,C,,C,C,C+,,,C+,C+,2.71
2564,100261031,,A,B,,A,,,B,,B+,C+,B,B,B+,,A,B,B+,D+,C,,,,,C+,D+,C,,C,,A,,,C+,,C+,A,,,,C,D+,C+,,A,C+,B,,B+,C+,B+,B,D+,A,,D+,,D,B+,B,,,C,C+,2.72
2564,100261038,,,,,,,,D+,,C+,B,B+,B+,B,,C+,,C,D+,D+,,C+,,A,B,D+,C+,,C+,,B,C+,,D+,,C+,C,,,,B,C,A,,,C+,C,,,C,C,C,D+,B,,D+,,C,C+,B+,,,D+,D+,2.47
2564,100261047,,,A,,,A,,A,,B+,B+,B+,A,A,,A,B,A,B+,C+,,B,,,B+,C+,A,A,C+,,A,C+,,B+,,A,A,,,,B,B,A,,,A,B,,,A,B+,B+,B+,A,,C+,,A,C+,A,,,B,B,3.44
2564,100261054,,,B,,,,,,,C,A,B+,A,C,,C,B,B,D+,D+,,,,B+,C+,C,C+,,C+,,B+,A,,C+,,C+,C,,A,,B,C,B+,,,B,D+,,,D+,B,C+,D,A,,D+,,C,C,B+,,,,C,2.59
2564,100261059,,,B,,,B,,,,B+,B+,B,C+,C+,,C,,A,D,D,,,,,C+,D,B+,A,C+,,B+,C+,,B,,C,D+,,,,C,C,B+,,,B+,C,,,C,C+,C+,D+,C+,C+,C+,,D,C+,C+,,,D+,D+,2.52
2564,100261060,,,C,,,,,C,,D+,C+,B,C+,B,,C+,B+,C,D+,D,,,,,C+,D+,C+,,C,,A,,,D+,,C,C+,,A,,C+,C,A,,,C,C,,D,D+,C+,C,F,A,,D+,,D+,B,C,,,D,F,2.31
2564,100261080,,,C,,,,,,,C,B+,B+,B,B,,B+,,C,C+,C,,,,A,C+,C+,A,A,C+,,B+,C+,,C,,B,C+,,,,B,C,A,,,C+,C,,,D+,C,B,D+,A,,D+,,D,C+,B+,,,D+,D+,2.6
2564,100261093,,A,,,,,,,,C+,A,B,B+,C+,,C,,C,D+,D+,,,,B+,C+,D+,A,A,C+,,A,,,D+,,C+,C,,,,B,C,A,,,C+,C,,C+,B+,C+,C+,D,A,,D+,,C,C,B,,,D,D,2.57
